date,SPI,,,
1/1/1902,-99,,,
2/1/1902,-99,,,
3/1/1902,-0.74,,,
4/1/1902,0.05,,,
5/1/1902,-0.59,,,
6/1/1902,-1.62,,,
7/1/1902,-1.84,,,
8/1/1902,-1.94,,,
9/1/1902,0.06,,,
10/1/1902,0.58,,,
11/1/1902,1.37,,,
12/1/1902,1.24,,,
1/1/1903,1.6,,,
2/1/1903,1.3,,,
3/1/1903,-0.6,,,
4/1/1903,-0.89,,,
5/1/1903,1.15,,,
6/1/1903,0.2,,,
7/1/1903,1.02,,,
8/1/1903,0.97,,,
9/1/1903,1.34,,,
10/1/1903,1,,,
11/1/1903,0.52,,,
12/1/1903,0.39,,,
1/1/1904,-0.4,,,
2/1/1904,0.23,,,
3/1/1904,0.46,,,
4/1/1904,-0.09,,,
5/1/1904,-0.59,,,
6/1/1904,-1.49,,,
7/1/1904,-1.26,,,
8/1/1904,-1.82,,,
9/1/1904,0.65,,,
10/1/1904,0.93,,,
11/1/1904,1.39,,,
12/1/1904,-0.21,,,
1/1/1905,-1.42,,,
2/1/1905,-0.42,,,
3/1/1905,-0.56,,,
4/1/1905,0.23,,,
5/1/1905,-0.42,,,
6/1/1905,-0.28,,,
7/1/1905,-1.23,,,
8/1/1905,-1.11,,,
9/1/1905,-1.42,,,
10/1/1905,-0.96,,,
11/1/1905,-1.02,,,
12/1/1905,-1.02,,,
1/1/1906,0.14,,,
2/1/1906,0.98,,,
3/1/1906,0.98,,,
4/1/1906,-1.4,,,
5/1/1906,-1.55,,,
6/1/1906,0.75,,,
7/1/1906,1.04,,,
8/1/1906,1.3,,,
9/1/1906,-0.04,,,
10/1/1906,-0.73,,,
11/1/1906,-1.56,,,
12/1/1906,-0.74,,,
1/1/1907,-0.01,,,
2/1/1907,0.85,,,
3/1/1907,-0.14,,,
4/1/1907,2.01,,,
5/1/1907,1.15,,,
6/1/1907,0.37,,,
7/1/1907,0.54,,,
8/1/1907,0.62,,,
9/1/1907,-0.3,,,
10/1/1907,-1.79,,,
11/1/1907,-2.81,,,
12/1/1907,-2.23,,,
1/1/1908,-0.85,,,
2/1/1908,-0.24,,,
3/1/1908,0.47,,,
4/1/1908,-0.02,,,
5/1/1908,-0.56,,,
6/1/1908,-0.85,,,
7/1/1908,-1.05,,,
8/1/1908,-1.09,,,
9/1/1908,0.14,,,
10/1/1908,0.08,,,
11/1/1908,0.24,,,
12/1/1908,-2.34,,,
1/1/1909,-0.7,,,
2/1/1909,0.12,,,
3/1/1909,0.97,,,
4/1/1909,0.36,,,
5/1/1909,0.66,,,
6/1/1909,1.43,,,
7/1/1909,1.01,,,
8/1/1909,0.9,,,
9/1/1909,0.49,,,
10/1/1909,0.17,,,
11/1/1909,-0.15,,,
12/1/1909,-1.33,,,
1/1/1910,-0.27,,,
2/1/1910,0.48,,,
3/1/1910,-0.51,,,
4/1/1910,-1.04,,,
5/1/1910,-1.13,,,
6/1/1910,0.31,,,
7/1/1910,0.2,,,
8/1/1910,0.41,,,
9/1/1910,1.23,,,
10/1/1910,1.15,,,
11/1/1910,1.24,,,
12/1/1910,0.02,,,
1/1/1911,0.58,,,
2/1/1911,-0.28,,,
3/1/1911,-0.41,,,
4/1/1911,-1.42,,,
5/1/1911,-1.4,,,
6/1/1911,-1.16,,,
7/1/1911,0.51,,,
8/1/1911,0.53,,,
9/1/1911,-0.07,,,
10/1/1911,-1.5,,,
11/1/1911,-1.36,,,
12/1/1911,-0.44,,,
1/1/1912,0.89,,,
2/1/1912,0.7,,,
3/1/1912,0.44,,,
4/1/1912,0.48,,,
5/1/1912,-0.37,,,
6/1/1912,-0.87,,,
7/1/1912,-0.4,,,
8/1/1912,-0.47,,,
9/1/1912,-1.64,,,
10/1/1912,-1.97,,,
11/1/1912,-2.02,,,
12/1/1912,-0.11,,,
1/1/1913,0.21,,,
2/1/1913,-0.61,,,
3/1/1913,-0.76,,,
4/1/1913,-0.92,,,
5/1/1913,0.41,,,
6/1/1913,1.06,,,
7/1/1913,0.95,,,
8/1/1913,-0.12,,,
9/1/1913,-1.89,,,
10/1/1913,-2.87,,,
11/1/1913,-2.43,,,
12/1/1913,-1.26,,,
1/1/1914,-0.48,,,
